segment,situation,model,pred_bin,n,matches,mean_pred,actual_wr,bias,abs_error
phase_x_chase_bucket,phase=death|chase_bucket=par,raw,"[0.5, 0.6)",23,7,0.543308195476915,0.5652173913043478,-0.02190919582743278,0.02190919582743278
phase_x_chase_bucket,phase=death|chase_bucket=par,raw,"[0.6, 0.7)",22,8,0.6547094562714147,0.8181818181818182,-0.16347236191040349,0.16347236191040349
phase_x_chase_bucket,phase=death|chase_bucket=par,raw,"[0.7, 0.8)",23,7,0.7532284633477921,0.7391304347826086,0.014098028565183496,0.014098028565183496
phase_x_chase_bucket,phase=death|chase_bucket=par,raw,"[0.8, 0.9)",27,7,0.8583314560108222,0.5925925925925926,0.2657388634182296,0.2657388634182296
phase_x_chase_bucket,phase=death|chase_bucket=par,raw,"[0.9, 1.0)",202,21,0.9819975667096252,0.9603960396039604,0.021601527105664875,0.021601527105664875
phase_x_chase_bucket,phase=death|chase_bucket=par,calibrated,"[0.0, 0.1)",186,12,0.017350978695233724,0.04838709677419355,-0.031036118078959823,0.031036118078959823
phase_x_chase_bucket,phase=death|chase_bucket=par,calibrated,"[0.1, 0.2)",29,6,0.1598137817570764,0.3103448275862069,-0.15053104582913052,0.15053104582913052
phase_x_chase_bucket,phase=death|chase_bucket=par,calibrated,"[0.2, 0.3)",21,8,0.2672331637517901,0.047619047619047616,0.2196141161327425,0.2196141161327425
phase_x_chase_bucket,phase=death|chase_bucket=par,calibrated,"[0.3, 0.4)",31,8,0.3494343392201332,0.1935483870967742,0.15588595212335904,0.15588595212335904
phase_x_chase_bucket,phase=death|chase_bucket=par,calibrated,"[0.4, 0.5)",11,4,0.4145194989624572,0.36363636363636365,0.050883135326093565,0.050883135326093565
phase_x_chase_bucket,phase=death|chase_bucket=par,calibrated,"[0.5, 0.6)",33,9,0.5506422607216739,0.6666666666666666,-0.11602440594499275,0.11602440594499275
phase_x_chase_bucket,phase=death|chase_bucket=par,calibrated,"[0.6, 0.7)",16,7,0.6720524063601254,0.8125,-0.14044759363987458,0.14044759363987458
phase_x_chase_bucket,phase=death|chase_bucket=par,calibrated,"[0.7, 0.8)",20,6,0.7471632315714821,0.8,-0.05283676842851792,0.05283676842851792
phase_x_chase_bucket,phase=death|chase_bucket=par,calibrated,"[0.8, 0.9)",20,8,0.8507309032812007,0.5,0.3507309032812007,0.3507309032812007
phase_x_chase_bucket,phase=death|chase_bucket=par,calibrated,"[0.9, 1.0)",175,22,0.9704266927639625,0.9371428571428572,0.03328383562110537,0.03328383562110537
phase_x_chase_bucket,phase=mid|chase_bucket=high,raw,"[0.0, 0.1)",727,20,0.02403805136270505,0.0,0.02403805136270505,0.02403805136270505
phase_x_chase_bucket,phase=mid|chase_bucket=high,raw,"[0.1, 0.2)",323,17,0.14968372812600605,0.07430340557275542,0.07538032255325064,0.07538032255325064
phase_x_chase_bucket,phase=mid|chase_bucket=high,raw,"[0.2, 0.3)",243,19,0.2490623235804918,0.09465020576131687,0.1544121178191749,0.1544121178191749
phase_x_chase_bucket,phase=mid|chase_bucket=high,raw,"[0.3, 0.4)",173,17,0.3452143642609944,0.1329479768786127,0.21226638738238168,0.21226638738238168
phase_x_chase_bucket,phase=mid|chase_bucket=high,raw,"[0.4, 0.5)",75,10,0.44371968628918645,0.24,0.20371968628918646,0.20371968628918646
phase_x_chase_bucket,phase=mid|chase_bucket=high,raw,"[0.5, 0.6)",82,9,0.5565905823915659,0.5487804878048781,0.007810094586687799,0.007810094586687799
phase_x_chase_bucket,phase=mid|chase_bucket=high,raw,"[0.6, 0.7)",90,9,0.6503566447297242,0.5888888888888889,0.0614677558408353,0.0614677558408353
phase_x_chase_bucket,phase=mid|chase_bucket=high,raw,"[0.7, 0.8)",111,8,0.7441909945876248,0.9819819819819819,-0.2377909873943571,0.2377909873943571
phase_x_chase_bucket,phase=mid|chase_bucket=high,raw,"[0.8, 0.9)",118,9,0.8559138890383278,1.0,-0.14408611096167223,0.14408611096167223
phase_x_chase_bucket,phase=mid|chase_bucket=high,raw,"[0.9, 1.0)",147,7,0.9550409203387883,1.0,-0.04495907966121171,0.04495907966121171
phase_x_chase_bucket,phase=mid|chase_bucket=high,calibrated,"[0.0, 0.1)",689,20,0.0278637022392645,0.0,0.0278637022392645,0.0278637022392645
phase_x_chase_bucket,phase=mid|chase_bucket=high,calibrated,"[0.1, 0.2)",292,17,0.1581688492313277,0.07876712328767123,0.07940172594365648,0.07940172594365648
phase_x_chase_bucket,phase=mid|chase_bucket=high,calibrated,"[0.2, 0.3)",273,19,0.25068636424008167,0.08058608058608059,0.1701002836540011,0.1701002836540011
phase_x_chase_bucket,phase=mid|chase_bucket=high,calibrated,"[0.3, 0.4)",186,17,0.3454338338210288,0.10752688172043011,0.2379069521005987,0.2379069521005987
phase_x_chase_bucket,phase=mid|chase_bucket=high,calibrated,"[0.4, 0.5)",102,11,0.4441591821792712,0.22549019607843138,0.21866898610083982,0.21866898610083982
