bucket,n,mean_pred,actual_wr,cal_error,candidate
70-80,2053,0.7554396610655928,0.8860204578665368,0.13058079680094403,recent_2021_global_platt_blend_0.25
80+,5190,0.9378767415158488,0.945664739884393,0.007787998368544269,recent_2021_global_platt_blend_0.25
50-60,1394,0.5527140406261932,0.5903873744619799,0.03767333383578664,recent_2021_global_platt_blend_0.50
60-70,1524,0.6522348535492906,0.7388451443569554,0.0866102908076648,recent_2021_global_platt_blend_0.50
70-80,2062,0.7546248115382937,0.8899127061105723,0.13528789457227852,recent_2021_global_platt_blend_0.50
80+,5067,0.9372301138671354,0.9471087428458654,0.009878628978730042,recent_2021_global_platt_blend_0.50
50-60,1411,0.5518887124186226,0.5967399007795889,0.044851188360966354,recent_2021_global_platt_blend_0.75
60-70,1603,0.6507479989618331,0.7429819089207735,0.09223390995894043,recent_2021_global_platt_blend_0.75
70-80,2049,0.7524634797653017,0.8931185944363104,0.14065511467100866,recent_2021_global_platt_blend_0.75
80+,4984,0.9356365783166746,0.9480337078651685,0.012397129548493924,recent_2021_global_platt_blend_0.75
50-60,1313,0.5525261380499018,0.5978674790555979,0.04534134100569609,recent_2021_global_isotonic_blend_0.25
60-70,1285,0.6488755812971588,0.6996108949416342,0.050735313644475366,recent_2021_global_isotonic_blend_0.25
70-80,2291,0.753048433112536,0.8773461370580532,0.1242977039455172,recent_2021_global_isotonic_blend_0.25
80+,5158,0.9379802066772974,0.9464908879410624,0.008510681263764974,recent_2021_global_isotonic_blend_0.25
50-60,1316,0.5515601611001874,0.6117021276595744,0.06014196655938708,recent_2021_global_isotonic_blend_0.50
60-70,1153,0.6450742905015795,0.6600173460537727,0.014943055552193218,recent_2021_global_isotonic_blend_0.50
70-80,2666,0.7502156317863712,0.8825956489122281,0.1323800171258569,recent_2021_global_isotonic_blend_0.50
80+,4912,0.9406162062552412,0.9482899022801303,0.007673696024889098,recent_2021_global_isotonic_blend_0.50
50-60,1384,0.5525187902810428,0.6206647398843931,0.0681459496033503,recent_2021_global_isotonic_blend_0.75
60-70,1040,0.647026279013456,0.6538461538461539,0.006819874832697859,recent_2021_global_isotonic_blend_0.75
70-80,2773,0.7440599407458738,0.8755860079336458,0.13152606718777204,recent_2021_global_isotonic_blend_0.75
80+,4850,0.9394914053317642,0.9505154639175257,0.011024058585761498,recent_2021_global_isotonic_blend_0.75
50-60,1540,0.553392035062508,0.5974025974025974,0.044010562340089376,recent_2021_global_symmetric_temperature
60-70,1501,0.6532237300830777,0.737508327781479,0.08428459769840135,recent_2021_global_symmetric_temperature
70-80,2103,0.7483308148360182,0.8968140751307656,0.14848326029474745,recent_2021_global_symmetric_temperature
80+,4903,0.9339624067523239,0.9479910259025087,0.014028619150184829,recent_2021_global_symmetric_temperature
50-60,1390,0.5606769175361194,0.5784172661870504,0.017740348650930993,recent_2021_global_symmetric_platt
60-70,1601,0.6538610288771127,0.740787008119925,0.08692597924281231,recent_2021_global_symmetric_platt
70-80,2143,0.7501586197181296,0.893607092860476,0.14344847314234643,recent_2021_global_symmetric_platt
80+,4913,0.9324632317525539,0.9476898025646244,0.015226570812070572,recent_2021_global_symmetric_platt
50-60,1127,0.5389850055372819,0.582963620230701,0.04397861469341913,recent_2021_global_symmetric_isotonic
60-70,973,0.6204270415175394,0.6618705035971223,0.04144346207958294,recent_2021_global_symmetric_isotonic
70-80,3611,0.7455481277690784,0.8695652173913043,0.1240170896222259,recent_2021_global_symmetric_isotonic
80+,4336,0.9501960294488789,0.9536439114391144,0.0034478819902354907,recent_2021_global_symmetric_isotonic
50-60,1343,0.5553365801133362,0.5718540580789278,0.016517477965591554,recent_2021_global_symmetric_platt_blend_0.25
60-70,1320,0.6488855416772347,0.7257575757575757,0.07687203408034105,recent_2021_global_symmetric_platt_blend_0.25
70-80,2130,0.7513101102215821,0.8765258215962441,0.12521571137466203,recent_2021_global_symmetric_platt_blend_0.25
80+,5254,0.9359680444687968,0.9455652835934526,0.00959723912465582,recent_2021_global_symmetric_platt_blend_0.25
50-60,1344,0.5566960325742878,0.5721726190476191,0.015476586473331277,recent_2021_global_symmetric_platt_blend_0.50
60-70,1491,0.6525055216761405,0.7344064386317908,0.08190091695565027,recent_2021_global_symmetric_platt_blend_0.50
